weeks,weekly_digest_rate,email_open_rate,email_clickthrough_rate,sent_reengagement_email_rate
17,92.56,31.6,16.92,7.44
18,95.87,33.6,15.84,5.78
19,95.62,34.88,17.12,6.21
20,95.09,34.93,17.64,6.65
21,96.45,34.65,15.14,5.6
22,96.1,32.59,16.11,6.34
23,95.82,34.3,17.17,6.29
24,95.42,35.49,17.03,6.95
25,95.93,32.78,15.85,5.86
26,96.02,33.88,16.17,6.37
27,95.94,34.66,17.53,6.01
28,96.1,34.33,16.45,5.85
29,96.2,32.65,15.8,5.7
30,95.86,35.77,16.3,5.98
31,96.03,34.2,11.27,5.62
32,96.87,33.23,10.39,4.97
33,95.52,34.1,11.67,6.29
34,95.74,35.58,11.41,6.08
35,0,85.42,79.17,100
,,,,
,90.69157895,36.77052632,18.68315789,11.05210526
