weeks,weekly_digest,email_open,email_clickthrough,sent_reengagement_email
17,908,310,166,73
18,2602,912,430,157
19,2665,972,477,173
20,2733,1004,507,191
21,2822,1014,443,164
22,2911,987,488,192
23,3003,1075,538,197
24,3105,1155,554,226
25,3207,1096,530,196
26,3302,1165,556,219
27,3399,1228,621,213
28,3499,1250,599,213
29,3592,1219,590,213
30,3706,1383,630,231
31,3793,1351,445,222
32,3897,1337,418,200
33,4012,1432,490,264
34,4111,1528,490,261
35,0,41,38,48
,,,,
,3014.052632,1076.789474,474.2105263,192.2631579
,4111,1528,630,264
